anime_id,title,status,aired_string,score,scored_by,rank,popularity,members,genre
3044,Tetsuwan Atom (1980),Finished Airing,"Oct 1, 1980 to Dec 23, 1981",7.23,2945.0,2698.0,4213.0,7273.0,"Action, Sci-Fi, Adventure, Mecha, Shounen"
18329,Meoteoldosawa Ttomae,Finished Airing,"Dec 25, 1990",4.8,15.0,11232.0,12874.0,105.0,"Action, Adventure, Fantasy, Magic, Shounen"
30921,Kacchikenee!,Finished Airing,"Mar 19, 2016",6.4,171.0,5990.0,7758.0,1292.0,Supernatural
32568,Kamiwaza Wanda,Finished Airing,"Apr 23, 2016 to Mar 25, 2017",5.5,20.0,10752.0,9991.0,387.0,"Sci-Fi, Kids"
30355,Wakaba*Girl,Finished Airing,"Jul 3, 2015 to Sep 25, 2015",6.96,12635.0,3723.0,2177.0,28508.0,"Comedy, School, Slice of Life"
20423,Kamisama no Inai Nichiyoubi: Kioku,Finished Airing,"Feb 5, 2014",6.99,11723.0,3601.0,2522.0,22149.0,"Mystery, Fantasy"
8752,Message Song,Finished Airing,"Dec, 1996",5.42,110.0,8515.0,11167.0,206.0,Music
602,KO Seiki Beast Sanjuushi,Finished Airing,"May 2, 1992 to Nov 21, 1993",6.61,475.0,5157.0,7399.0,1531.0,"Adventure, Comedy, Fantasy, Mecha, Shounen, Supernatural"
36719,Pastel Kazoku,Finished Airing,"Jun 16, 2016",3.9,29.0,11723.0,13691.0,67.0,Comedy
539,Tenchi Muyou! Ryououki,Finished Airing,"Sep 25, 1992 to Mar 25, 1993",7.74,16292.0,1026.0,2062.0,31403.0,"Action, Comedy, Sci-Fi, Shounen, Space"
18295,Kakumeiki Valvrave 2nd Season,Finished Airing,"Oct 10, 2013 to Dec 27, 2013",7.39,39250.0,2070.0,1200.0,67766.0,"Action, Space, Mecha"
25053,Mister Ajikko Special,Finished Airing,"Feb 9, 1989",6.72,36.0,11292.0,11569.0,174.0,"Comedy, Shounen"
28119,Kuma no Minakuro to Kouhei Jiisan,Finished Airing,"Jan, 1999",6.4,5.0,11001.0,13110.0,93.0,"Drama, Kids"
4452,Hoshikuzu Paradise,Finished Airing,"Jul 25, 1991",5.71,142.0,7973.0,9922.0,402.0,"Comedy, Romance"
36673,Nakano Harada Kekkon Kyousoukyoku,Finished Airing,"Mar 17, 2014",3.68,19.0,11375.0,13923.0,53.0,Music
10838,Double-J,Finished Airing,"Jun 29, 2011 to Sep 14, 2011",5.57,3998.0,8247.0,3793.0,9317.0,"Comedy, School, Shounen"
2038,Mahou no Star Magical Emi,Finished Airing,"Jun 7, 1985 to Feb 28, 1986",6.76,628.0,4499.0,6556.0,2307.0,"Comedy, Magic, Shoujo, Slice of Life"
16702,Doraemon: Nobita to Mirai Note,Finished Airing,1994,6.38,115.0,6067.0,9922.0,402.0,"Kids, Adventure, Fantasy, Sci-Fi, Shounen"
15649,Puchimas!: Petit iDOLM@STER,Finished Airing,"Jan 1, 2013 to Mar 29, 2013",7.22,4630.0,2740.0,3569.0,10701.0,"Comedy, Slice of Life"
19687,Kuiba II: Dazhan Yuan Yang Jie,Finished Airing,"May 31, 2013",6.98,43.0,10995.0,10688.0,266.0,"Action, Adventure, Kids, Fantasy"
17293,Love Like Aliens,Finished Airing,"Jul 15, 2012",5.62,412.0,8158.0,8799.0,758.0,"Action, Music, Sci-Fi"
31,Neon Genesis Evangelion: Death & Rebirth,Finished Airing,"Mar 15, 1997",7.5,70425.0,1639.0,699.0,121923.0,"Drama, Mecha, Psychological, Sci-Fi"
1364,Detective Conan Movie 05: Countdown to Heaven,Finished Airing,"Apr 21, 2001",8.24,20250.0,274.0,1991.0,33141.0,"Adventure, Police, Comedy, Mystery, Shounen"
247,Harukanaru Toki no Naka de: Hachiyou Shou,Finished Airing,"Oct 6, 2004 to Mar 30, 2005",7.14,5362.0,3040.0,2884.0,17038.0,"Fantasy, Magic, Supernatural, Demons, Historical, Shoujo"
6513,Ravex in Tezuka World,Finished Airing,"Apr, 2009",5.78,332.0,7852.0,8656.0,818.0,"Space, Music"
17613,Poka Poka Mori no Rascal,Finished Airing,"Apr 1, 2006 to Mar 24, 2007",5.28,25.0,11787.0,12114.0,142.0,Kids
7551,Gowapper 5 Gordam,Finished Airing,"Apr 4, 1976 to Dec 29, 1976",6.31,70.0,6347.0,10410.0,312.0,"Action, Adventure, Mecha, Sci-Fi"
2704,Kaiketsu Jouki Tanteidan,Finished Airing,"Oct 7, 1998 to Mar 31, 1999",6.75,624.0,4530.0,6197.0,2725.0,"Action, Mecha, Mystery, Police"
34454,Granblue Fantasy,Currently Airing,"Nov 8, 2013 to ?",6.73,305.0,4623.0,5467.0,3729.0,Fantasy
2928,.hack//G.U. Returner,Finished Airing,"Jan 18, 2007",6.85,7473.0,4094.0,2878.0,17168.0,"Magic, Adventure, Fantasy, Game, Sci-Fi, Drama"
2253,Mazinger Z,Finished Airing,"Dec 3, 1972 to Sep 1, 1974",7.42,2861.0,1941.0,3997.0,8184.0,"Action, Drama, Mecha, Sci-Fi, Shounen"
10693,Appleseed XIII Remix Movie 2: Yogen,Finished Airing,"Oct 24, 2011",6.55,657.0,5400.0,5975.0,2978.0,"Action, Mecha, Military, Sci-Fi, Police"
6795,Genius Party Beyond,Finished Airing,"Oct 11, 2008",7.35,5630.0,2227.0,3357.0,12502.0,"Sci-Fi, Music, Dementia, Fantasy"
2037,Hime-chan no Ribbon,Finished Airing,"Oct 2, 1992 to Dec 3, 1993",7.55,1520.0,1524.0,5041.0,4599.0,"Comedy, Fantasy, Magic, Romance, School, Shoujo"
21195,Soul Eater: Late Night Show,Finished Airing,"Apr, 2008 to Mar, 2009",6.91,4170.0,3888.0,3146.0,14374.0,"Action, Fantasy, Comedy"
5918,Deimos no Hanayome: Ran no Kumikyoku,Finished Airing,"Aug 31, 1988",5.91,1095.0,7536.0,6213.0,2700.0,"Mystery, Horror, Demons, Psychological, Supernatural, Drama, Magic, Fantasy, Shoujo"
35122,Shingeki no Kyotou,Finished Airing,"Apr 10, 2017",6.37,1038.0,6138.0,3741.0,9615.0,"Action, Fantasy, Shounen"
36565,Major 2nd (TV),Currently Airing,"Apr 7, 2018 to ?",7.6,1211.0,1389.0,3875.0,8858.0,"Comedy, Sports, Drama, Shounen"
